,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울시 구별 일별 시간대별 교통사고 건수(2017년~2018년),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일,발생지_구,종로구,중구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,양천구,중랑구,노원구,광진구,강북구,금천구,합계:,
,발생시간_분류,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,
20170119,20시-22시,,,1,,1,,,,,,1,,,,,3,,1,,1,1,,1,,,10,
20170119,22시-24시,,,,,1,,,,,,,,,,,3,,,1,,,,,,,5,
20170120,00시-02시,,,,,,,,,,,,,1,,,2,1,,1,,,1,,,,6,
20170120,02시-04시,,,,1,,,,,,,,1,1,,,1,,,,,,,,,,4,
20170120,04시-06시,,,,,,,,,,2,2,,,,,,,2,2,1,,,,,,9,
20170120,06시-08시,1,,,,,,,,,,,1,,1,,,,,2,,,,,,,5,
20170120,08시-10시,,,,,,,,,1,1,,,,,,1,,1,,,1,,,,,5,
20170120,10시-12시,1,,,,,,,,,,1,,2,,,,,1,,,1,,1,,,7,
20170120,12시-14시,,,,,,1,,,,,,1,,,,,,,,,,,,,,2,
20170120,14시-16시,,1,1,,,,,,,,,,,,,,,,,1,,,,,,3,
20170120,16시-18시,1,,,,3,,1,,,,,,1,,,,,,,1,2,,,,,9,
20170120,18시-20시,,1,1,,,,,,1,,,,,,,1,,,,,1,1,,,,6,
20170120,20시-22시,,,,,1,,1,1,,,,,,1,,1,,,,,,1,,,,6,
20170120,22시-24시,,,,,1,,,,1,1,,,2,,,1,1,1,3,1,,,,1,,13,
20170121,00시-02시,,1,,,,1,,1,,1,,1,1,,,2,5,2,1,,,1,1,,,18,
20170121,02시-04시,,,,2,1,,,,,,,,,1,,1,,,,,,,,2,1,8,
20170121,04시-06시,,1,,,,,,,,,,,,,,2,,1,,,,,,,,4,
20170121,06시-08시,,,,,,,,1,,,,,,,,1,,1,,,,,,,,3,
20170121,08시-10시,,,,,1,,,,,1,,,,1,1,,,,,,2,,,1,,7,
20170121,10시-12시,,,,,,1,,,,,,1,1,,,2,1,,,,,,,,,6,
20170121,12시-14시,,,,,,1,,,,,1,2,,1,,1,,,1,,1,2,1,,,11,
20170121,14시-16시,,,,,,1,1,,,3,,1,,,,1,1,1,2,,,,,,,11,
20170121,16시-18시,,,,,1,,,1,2,,,,,1,1,1,,,1,,2,,1,,,11,
20170121,18시-20시,1,,,,,,,,,2,1,,,1,,1,,1,,,,1,,,,8,
20170121,20시-22시,,,1,,,,1,,,,,,,1,,,,,,1,,,,,,4,
20170121,22시-24시,1,,1,,,,,,,2,1,2,1,2,,,2,1,,,,,,1,,14,
20170122,00시-02시,1,,,,1,,,1,,,,,1,,,1,,,,,,,,,,5,
20170122,02시-04시,,,1,1,,,1,,,,,1,,,,,,,1,,,,,,,5,
20170122,04시-06시,1,1,1,,2,,,,,1,1,,,1,,1,,,,,,,,,,9,
20170122,06시-08시,,,1,,,1,,,,1,3,,,,,1,,,,,,,,,,7,
20170122,08시-10시,,,1,,,,1,,1,1,1,,,,,,,2,,,,,,,,7,
